code,level-front-120,level-future-120,trend,front-min_time,front-min_up_or_down,front-max_time,front-max_up_or_down,future-min_time,future-min_up_or_down,future-max_time,future-max_up_or_down,percent
603801.SH志邦家居,-0.7011635039126437,-2.206283514388792,-1.5051200104761482,2023-05-02 00:00:00,-6.420312288675288,2023-04-01 00:00:00,7.378708330423443,2023-07-01 00:00:00,-7.6869166764835,2023-09-28 00:00:00,6.05692669542255,0.45
600624.SH复旦复华,0.12751131479108438,-1.3720881266144727,-1.4995994414055571,2023-03-09 00:00:00,-6.513456449308417,2023-02-13 00:00:00,7.350359684169993,2023-09-05 00:00:00,-7.740011153830503,2023-08-12 00:00:00,4.619988846169496,0.5142857142857142
603738.SH泰晶科技,-0.33940561255539076,-1.8359155251227128,-1.496509912567322,2023-04-12 00:00:00,-7.647755488284733,2023-02-18 00:00:00,7.639300276633303,2023-06-11 00:00:00,-8.042028617476507,2023-08-17 00:00:00,5.022627811589824,0.6666666666666666
600228.SH返利科技,0.7065429344506784,-0.7856521445454222,-1.4921950789961005,2023-03-26 00:00:00,-6.698263613580559,2023-02-23 00:00:00,8.031737515483128,2023-09-22 00:00:00,-7.969533801968612,2023-06-23 00:00:00,5.209125265951667,0.7058823529411765
603888.SH新华网,1.708013921277654,0.21731276675490432,-1.4907011545227495,2023-04-23 00:00:00,-5.505297719539353,2023-04-01 00:00:00,8.649873075427832,2023-06-22 00:00:00,-6.885688219721812,2023-08-22 00:00:00,7.043547096823444,0.782608695652174
603712.SH七一二,-1.0320601910902936,-2.5212244451146457,-1.4891642540243522,2023-05-01 00:00:00,-8.206320329476917,2023-04-02 00:00:00,6.489099496377117,2023-07-13 00:00:00,-9.103019102976367,2023-08-24 00:00:00,4.9910060149642375,0.5116279069767442
300133.SZ华策影视,0.43740963902978075,-1.0482106052516504,-1.4856202442814312,2023-05-15 00:00:00,-5.423292306120477,2023-04-14 00:00:00,8.126560198239059,2023-07-14 00:00:00,-6.987088453434401,2023-08-12 00:00:00,6.900704143914742,0.6046511627906976
603383.SH顶点软件,-0.1603046378972637,-1.6433855875796508,-1.4830809496823871,2023-02-17 00:00:00,-6.56899310123878,2023-03-30 00:00:00,8.109530445909618,2023-07-23 00:00:00,-7.390321081150216,2023-06-07 00:00:00,5.088109296026501,0.5555555555555556
002221.SZ东华能源,0.4893184101183528,-0.9840653946189285,-1.4733838047372814,2023-05-08 00:00:00,-6.649699424753952,2023-03-30 00:00:00,5.9906671643741225,2023-09-05 00:00:00,-8.41302886562145,2023-09-26 00:00:00,4.9175475196708005,0.5384615384615384
002795.SZ永和智控,-0.9827971734312905,-2.4542600682106666,-1.4714628947793762,2023-04-26 00:00:00,-7.535958986757321,2023-03-27 00:00:00,5.381617440132157,2023-08-24 00:00:00,-8.43245198510272,2023-06-13 00:00:00,4.917373323035351,0.5576923076923077
002930.SZ宏川智慧,-1.177678738562041,-2.6467577540327625,-1.4690790154707214,2023-03-01 00:00:00,-7.349387234381571,2023-04-08 00:00:00,6.22820815213877,2023-07-08 00:00:00,-8.706348443851297,2023-09-24 00:00:00,4.9834737087758825,0.7209302325581395
300459.SZ汤姆猫,-0.017976231677083305,-1.483992268754271,-1.4660160370771878,2023-05-08 00:00:00,-7.100840396467251,2023-02-28 00:00:00,8.324805997138988,2023-06-05 00:00:00,-7.489607238154083,2023-06-28 00:00:00,5.6993649723979045,0.6666666666666666
603958.SH哈森股份,2.0675943209420735,0.6032171397798651,-1.4643771811622084,2023-02-25 00:00:00,-5.547708109496371,2023-05-29 00:00:00,8.232918118692817,2023-06-25 00:00:00,-7.49939957555274,2023-09-26 00:00:00,6.548241750554204,0.7608695652173914
002012.SZ凯恩股份,-1.0166347643585836,-2.4782359993708734,-1.4616012350122898,2023-03-09 00:00:00,-6.870470862446009,2023-02-14 00:00:00,5.265252548905474,2023-09-05 00:00:00,-8.838918994084693,2023-08-13 00:00:00,3.5210810059153066,0.4117647058823529
300567.SZ精测电子,0.41572199618772315,-1.0446242654641131,-1.4603462616518363,2023-05-23 00:00:00,-6.447182342464911,2023-03-18 00:00:00,7.652075460651016,2023-06-04 00:00:00,-7.723967819800578,2023-07-16 00:00:00,5.239977267365075,0.660377358490566
